 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
220,3,95,1280.476,800.589,0,4.307,7.527,71.619,745.031,8104.966,1.651
221,3,97,1205.017,737.813,0,5.407,6.459,55.688,543.552,5645.564,4.313E-6
222,3,98,1205.767,724.055,0,3.606,5.666,49.521,508.340,5557.692,0.463
223,3,99,1198.652,721.975,0,10.781,3.800,20.097,137.478,1145.135,5.641E-26
224,3,100,1189.674,699.359,0,10.134,6.574,55.244,529.359,5459.046,2.270E-37
225,3,101,1183.362,688.099,0,10.821,3.563,20.388,164.971,1629.948,0.000
226,3,102,1289.014,785.184,0,14.228,4.544,26.831,188.206,1497.718,0.000
227,3,103,1287.945,782.062,0,15.482,4.324,24.829,173.943,1406.070,2.746E-31
228,3,104,1314.170,886.913,0,3.999,6.650,56.595,546.743,5677.319,0.052
229,3,105,1272.197,897.414,0,3.939,7.541,65.788,627.932,6352.452,2.527
230,3,106,1286.822,981.730,0,4.185,8.216,78.674,811.924,8734.661,7.791E-9
231,3,107,1203.564,1047.162,0,3.799,8.058,76.514,787.169,8469.749,0.183
232,3,108,1174.809,984.138,0,4.678,5.399,41.469,387.102,4003.817,0.088
233,3,109,996.939,999.036,0,4.160,7.841,73.286,754.052,8183.219,2.969
234,3,111,931.119,1129.291,0,5.172,5.531,40.563,346.779,3251.755,0.448
235,3,112,1097.656,1316.348,0,5.356,5.185,39.367,368.443,3833.588,0.005
236,3,113,1085.615,1314.658,0,7.930,5.004,35.219,303.898,2944.605,1.181
237,3,114,1080.621,1317.796,0,4.864,5.328,41.728,395.205,4111.686,1.238
238,3,115,1081.882,1321.047,0,4.249,6.523,58.147,585.994,6240.959,0.010
239,3,116,1131.269,1416.451,0,2.586,6.343,55.393,551.912,5853.986,0.158
240,3,117,1153.519,1640.905,0,5.941,6.267,48.401,426.415,4115.733,0.006
241,3,118,1116.114,1548.293,0,2.860,7.175,58.619,525.826,5044.895,10.252
242,3,120,1204.975,1569.487,0,2.934,6.737,59.425,586.541,6155.217,7.980
243,3,121,1237.205,1603.550,0,3.698,7.268,67.847,701.984,7644.042,50.615
244,3,122,1188.112,1649.629,0,3.525,7.420,61.910,564.509,5503.756,59.499
245,3,123,1199.674,1707.530,0,9.176,5.309,35.049,269.988,2342.583,3.968E-11
246,3,124,1146.080,1746.413,0,3.638,7.857,77.321,818.029,8977.461,9.525
247,3,125,1213.929,1714.908,0,9.659,5.430,37.374,301.814,2734.637,4.036E-10
248,3,126,1178.712,1611.088,0,4.222,7.283,64.256,618.274,6249.122,29.285
249,3,127,1177.189,1649.560,0,4.522,7.773,69.862,690.729,7256.838,12.777
250,3,128,1088.977,1685.369,0,2.604,7.659,69.962,702.531,7468.096,0.026
251,3,129,1145.927,1625.689,0,3.848,7.483,67.050,651.867,6642.785,24.033
252,3,130,1110.155,1711.491,0,5.549,5.808,45.556,413.793,4072.066,2.853
253,3,131,1194.542,1698.314,0,8.699,4.086,22.486,154.778,1265.970,1.212E-6
254,3,132,1193.276,1697.504,0,9.028,5.254,34.124,255.868,2133.242,5.132E-18
255,3,133,1220.574,1659.978,0,4.154,6.717,58.031,564.286,5823.592,3.560
256,3,137,1242.094,1656.071,0,3.680,6.405,53.944,515.405,5284.995,7.254E-9
257,3,138,1206.703,1691.998,0,5.940,6.897,57.324,530.760,5263.386,2.942E-4
258,3,139,1270.079,1714.257,0,3.898,6.142,49.627,464.983,4731.082,9.264
259,4,0,616.352,321.581,0,4.576,5.345,43.660,429.718,4602.406,0.039
260,4,1,493.974,111.900,0,8.278,7.576,68.201,673.513,7036.118,0.000
261,4,2,489.953,90.317,0,10.261,4.659,31.792,280.486,2887.143,3.009E-7
262,4,3,480.829,91.204,0,19.121,8.514,78.741,773.555,7951.656,0.000
263,4,4,478.555,88.017,0,13.365,8.502,81.956,846.829,9138.819,0.000
264,4,5,467.583,73.061,0,8.767,6.404,52.551,493.048,5004.918,0.000
265,4,6,485.058,63.835,0,6.864,5.183,37.881,336.624,3340.171,5.117E-9
266,4,7,481.709,54.817,0,8.183,5.868,46.503,434.539,4453.049,1.319E-25
267,5,0,1291.238,702.526,0,28.709,3.606,15.684,76.977,415.027,6.624E-23
268,5,1,1291.587,693.974,0,27.325,3.874,18.599,102.629,628.881,0.000
269,5,2,1295.978,680.750,0,23.886,4.204,22.748,143.577,1004.511,2.841E-8
270,5,3,1290.117,674.591,0,23.683,4.533,26.098,175.663,1328.311,0.000
271,5,4,1393.644,627.412,0,3.942,6.460,52.603,489.015,4918.135,1.094E-24
272,5,6,1428.379,648.948,0,3.487,5.834,49.674,504.573,5544.943,0.237
273,5,7,1508.220,772.771,0,4.860,4.190,27.976,248.291,2559.721,1.672E-39
274,5,8,1494.448,768.692,0,4.878,4.683,34.357,319.925,3336.673,9.030
275,5,9,1483.281,765.909,0,4.366,5.196,41.096,398.972,4265.926,8.726
276,5,10,1474.633,761.735,0,5.115,5.518,45.717,454.431,4897.599,1.104
277,5,11,1489.065,760.783,0,5.561,5.399,43.063,410.702,4256.371,3.839
278,5,12,1200.060,857.442,0,6.121,8.036,72.785,713.073,7373.138,0.000
